Ecosystem,Survey Type,Survey Name,Entity Name,Stock,Stock Region,Assessment Year,Assessment Month,Degree of Influence
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex,Bering Sea / Aleutian Islands Blackspotted and Rougheye Rockfish Complex, Bering Sea / Aleutian Islands,2021,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Other Flatfish Complex,Bering Sea / Aleutian Islands Other Flatfish Complex, Bering Sea / Aleutian Islands,2020,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Other Flatfish Complex,Bering Sea / Aleutian Islands Other Flatfish Complex, Bering Sea / Aleutian Islands,2020,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Other Rockfish Complex,Bering Sea / Aleutian Islands Other Rockfish Complex, Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Other Rockfish Complex,Bering Sea / Aleutian Islands Other Rockfish Complex, Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Other Skates Complex,Bering Sea / Aleutian Islands Other Skates Complex, Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Other Skates Complex,Bering Sea / Aleutian Islands Other Skates Complex, Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Other Skates Complex,Bering Sea / Aleutian Islands Other Skates Complex, Bering Sea / Aleutian Islands,2022,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Sculpin Complex,Bering Sea / Aleutian Islands Sculpin Complex, Bering Sea / Aleutian Islands,2019,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Sculpin Complex,Bering Sea / Aleutian Islands Sculpin Complex, Bering Sea / Aleutian Islands,2019,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Sculpin Complex,Bering Sea / Aleutian Islands Sculpin Complex, Bering Sea / Aleutian Islands,2019,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Aleutian Island Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Skate Complex,Bering Sea / Aleutian Islands Skate Complex, Bering Sea / Aleutian Islands,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Skate Complex,Bering Sea / Aleutian Islands Skate Complex, Bering Sea / Aleutian Islands,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Eastern Bering Sea Upper Continenal Slope Groundfish Bottom Trawl,Bering Sea / Aleutian Islands Skate Complex,Bering Sea / Aleutian Islands Skate Complex, Bering Sea / Aleutian Islands,2007,12,Primary
Alaska Ecosystem Complex,FINSS Survey,Gulf of Alaska Shelf and Slope Groundfish Bottom Trawl,Big skate - Gulf of Alaska,Big skate , Gulf of Alaska,2021,12,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Big skate - Pacific Coast,Big skate , Pacific Coast,2019,9,Primary
California Current,Other Survey,NMFS Triennial Shelf Survey - retired,Big skate - Pacific Coast,Big skate , Pacific Coast,2019,9,Primary
California Current,Other Survey,IPHC Longline Survey,Big skate - Pacific Coast,Big skate , Pacific Coast,2019,9,Secondary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Bigeye bream - Guam | Asmt,Bigeye bream , Guam | Asmt,2019,5,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Bigeye bream - Guam | Asmt,Bigeye bream , Guam | Asmt,2019,5,Secondary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Bigeye bream - Main Hawaiian Islands,Bigeye bream , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Bigeye bream - Main Hawaiian Islands,Bigeye bream , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Bigeye bream - Main Hawaiian Islands,Bigeye bream , Main Hawaiian Islands,2017,2,Primary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Bigeye thresher - Pacific,Bigeye thresher , Pacific,2017,12,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Bigeye tuna - Atlantic,Bigeye tuna , Atlantic,2021,10,Primary
Atlantic Highly Migratory,Other Survey,quarterly acoustic echosounder buoy index associated with FADs covering the period 2010-2019,Bigeye tuna - Atlantic,Bigeye tuna , Atlantic,2021,10,Primary
Pacific Highly Migratory,Commercial CPUE,Commercial CPUE,Bigeye tuna - Eastern Pacific,Bigeye tuna , Eastern Pacific,2020,11,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Bigscale soldierfish - Main Hawaiian Islands,Bigscale soldierfish , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Bigscale soldierfish - Main Hawaiian Islands,Bigscale soldierfish , Main Hawaiian Islands,2017,2,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Bigscale soldierfish - Main Hawaiian Islands,Bigscale soldierfish , Main Hawaiian Islands,2017,2,Primary
Southeast Shelf / Gulf of Mexico,Commercial CPUE,Commercial CPUE,Black grouper - Southern Atlantic Coast / Gulf of Mexico,Black grouper , Southern Atlantic Coast / Gulf of Mexico,2010,3,Primary
Southeast Shelf / Gulf of Mexico,FINSS Survey,Florida Keys/Southeast Reef Fish Visual Census (RVC),Black grouper - Southern Atlantic Coast / Gulf of Mexico,Black grouper , Southern Atlantic Coast / Gulf of Mexico,2010,3,Primary
Southeast Shelf / Gulf of Mexico,Recreational CPUE,Recreational CPUE,Black grouper - Southern Atlantic Coast / Gulf of Mexico,Black grouper , Southern Atlantic Coast / Gulf of Mexico,2010,3,Primary
Southeast Shelf / Gulf of Mexico,FINSS Survey,Dry Tortugas Reef Fish Visual Census (RVC),Black grouper - Southern Atlantic Coast / Gulf of Mexico,Black grouper , Southern Atlantic Coast / Gulf of Mexico,2010,3,Secondary
Southeast Shelf / Gulf of Mexico,FINSS Survey,Gulf of Mexico Pelagic Longline,Black grouper - Southern Atlantic Coast / Gulf of Mexico,Black grouper , Southern Atlantic Coast / Gulf of Mexico,2010,3,Secondary
California Current,Recreational CPUE,Recreational CPUE,Black rockfish - California,Black rockfish , California,2019,9,Primary
California Current,Other Method,WDFW Mark-recapture tagging study (abundance index),Black rockfish - Northern Pacific Coast,Black rockfish , Northern Pacific Coast,2007,9,Primary
California Current,Other Method,WDFW Tagging CPUE Index,Black rockfish - Northern Pacific Coast,Black rockfish , Northern Pacific Coast,2007,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Black rockfish - Oregon | Asmt & Status,Black rockfish , Oregon | Asmt & Status,2021,10,Primary
California Current,Other Method,"ODFW Passive Integrated Transponder (PIT) tagging study off Newport, OR (2002-2018)",Black rockfish - Oregon | Asmt & Status,Black rockfish , Oregon | Asmt & Status,2021,10,Primary
California Current,Recreational CPUE,Recreational CPUE,Black rockfish - Oregon | Asmt & Status,Black rockfish , Oregon | Asmt & Status,2021,10,Primary
California Current,FINSS Survey,Juvenile Rockfish Survey,Black rockfish - Southern Pacific Coast,Black rockfish , Southern Pacific Coast,2007,11,Primary
California Current,Other Method,"ODFW Pit-Tagging Study off Newport, OR",Black rockfish - Southern Pacific Coast,Black rockfish , Southern Pacific Coast,2007,11,Primary
California Current,Recreational CPUE,Recreational CPUE,Black rockfish - Southern Pacific Coast,Black rockfish , Southern Pacific Coast,2007,11,Primary
California Current,Recreational CPUE,Recreational CPUE,Black rockfish - Washington,Black rockfish , Washington,2019,9,Primary
Northeast Shelf,FINSS Survey,Bottom Trawl Survey_Spring,Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,Other Survey,Maryland DNR inshore trawl survey,Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,Other Survey,New Jersey DEP spring trawl,Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,Other Survey,New York DEC juvenile seine,Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,Other Survey,VIMS Chesapeake Bay Survey (monthly),Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Primary
Northeast Shelf,FINSS Survey,Massachusetts DMF Bottom Trawl_Fall,Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Secondary
Northeast Shelf,FINSS Survey,Massachusetts DMF Bottom Trawl_Spring,Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Secondary
Northeast Shelf,FINSS Survey,Northeast Area Monitoring and Assessment Program (NEAMAP)_Spring (MDMR/VIMS),Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Secondary
Northeast Shelf,Other Survey,Connecticut DEEP spring Long Island trawl,Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Secondary
Northeast Shelf,Other Survey,DE DFW spring trawl,Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Secondary
Northeast Shelf,Other Survey,Rhode Island DFW spring trawl,Black sea bass - Mid-Atlantic Coast,Black sea bass , Mid-Atlantic Coast,2021,6,Secondary
Southeast Shelf,Commercial CPUE,Commercial CPUE,Black sea bass - Southern Atlantic Coast,Black sea bass , Southern Atlantic Coast,2018,6,Primary
Southeast Shelf,FINSS Survey,MARMAP/SEAMAP South Atlantic Reef Fish (SCDNR),Black sea bass - Southern Atlantic Coast,Black sea bass , Southern Atlantic Coast,2018,6,Primary
Southeast Shelf,FINSS Survey,Southeast Fishery-Independent Survey (SEFIS),Black sea bass - Southern Atlantic Coast,Black sea bass , Southern Atlantic Coast,2018,6,Primary
Southeast Shelf,Recreational CPUE,Recreational CPUE,Black sea bass - Southern Atlantic Coast,Black sea bass , Southern Atlantic Coast,2018,6,Primary
California Current,Commercial CPUE,Commercial CPUE,Black-and-yellow rockfish - Pacific Coast,Black,and,2010,9,Primary
California Current,Recreational CPUE,Recreational CPUE,Black-and-yellow rockfish - Pacific Coast,Black-and-Yellow Rockfish Complex, Pacific Coast,2010,9,Primary
California Current,Commercial CPUE,Commercial CPUE,Black-and-yellow rockfish - Pacific Coast,Black-and-Yellow Rockfish Complex, Pacific Coast,2010,9,Secondary
California Current,Commercial CPUE,Commercial CPUE,Blackgill rockfish - Northern Pacific Coast,Blackgill rockfish , Northern Pacific Coast,2010,9,Primary
California Current,FINSS Survey,West Coast Groundfish Bottom Trawl,Blackgill rockfish - Southern California,Blackgill rockfish , Southern California,2019,9,Primary
California Current,Other Survey,NMFS (Conducted by AFSC for 1977-2001 and NWFSC for 2004) Triennial Shelf Bottom Trawl Survey for Pacific coast groundfish. This survey has been discontinued.,Blackgill rockfish - Southern California,Blackgill rockfish , Southern California,2019,9,Primary
California Current,Other Survey,"NWFSC - Slope Bottom Trawl Survey for Pacific coast groundfish (1999-2002). This survey has been expanded to the ""NWFSC Shelf/Slope Bottom Trawl Survey for Pacific coast groundfish (2003-current) which is assumed to be Groundfish Bottom Trawl Survey in this drop-down list",Blackgill rockfish - Southern California,Blackgill rockfish , Southern California,2019,9,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Blacknose shark - Atlantic,Blacknose shark , Atlantic,2011,4,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP Shark/Red Snapper Bottom Longline,Blacknose shark - Atlantic,Blacknose shark , Atlantic,2011,4,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP-SA Red Drum Bottom Longline Survey (GADNR),Blacknose shark - Atlantic,Blacknose shark , Atlantic,2011,4,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP-SA Red Drum Bottom Longline Survey (SCDNR),Blacknose shark - Atlantic,Blacknose shark , Atlantic,2011,4,Primary
Atlantic Highly Migratory,Other Method,Drift Gillnet Observer Program 1993-1995 and 1998-2009,Blacknose shark - Atlantic,Blacknose shark , Atlantic,2011,4,Primary
Atlantic Highly Migratory,Other Method,SEFSC Shark Bottom Longline Observer Program 1994-2009,Blacknose shark - Atlantic,Blacknose shark , Atlantic,2011,4,Primary
Atlantic Highly Migratory,Other Survey,"University of North Carolina (UNC) bottom longline survey conducted biweekly from April-November, 1972-2009, at two fixed stations in Onslow Bay south of Shackleford Banks, North Carolina.",Blacknose shark - Atlantic,Blacknose shark , Atlantic,2011,4,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP Shark/Red Snapper Bottom Longline,Blacknose shark - Gulf of Mexico,Blacknose shark , Gulf of Mexico,2011,4,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Fall,Blacknose shark - Gulf of Mexico,Blacknose shark , Gulf of Mexico,2011,4,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP-GOM Shrimp/Groundfish Trawl_Summer,Blacknose shark - Gulf of Mexico,Blacknose shark , Gulf of Mexico,2011,4,Primary
Atlantic Highly Migratory,Other Method,SEFSC Shark Bottom Longline Observer Program 1994-2009,Blacknose shark - Gulf of Mexico,Blacknose shark , Gulf of Mexico,2011,4,Secondary
Atlantic Highly Migratory,Other Survey,Dauphin Island Sea Lab (DISL) Bottom Longline; monthly longline survey initiated off the coast of Alabama in 2006,Blacknose shark - Gulf of Mexico,Blacknose shark , Gulf of Mexico,2011,4,Secondary
Atlantic Highly Migratory,Other Survey,"Mote Marine Lab (MML) Longline; quarterly longline survey of sharks in southwest Florida offshore waters, 2001-2009.",Blacknose shark - Gulf of Mexico,Blacknose shark , Gulf of Mexico,2011,4,Secondary
Atlantic Highly Migratory,Other Survey,Panama City Gillnet (PCGN) adults and juveniles; survey of large and small coastal shark populations in coastal areas of the northeast Gulf of Mexico conducted using gillnets from 1996-2009,Blacknose shark - Gulf of Mexico,Blacknose shark , Gulf of Mexico,2011,4,Secondary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Blacktail snapper - Guam | Asmt,Blacktail snapper , Guam | Asmt,2019,5,Primary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Blacktail snapper - Guam | Asmt,Blacktail snapper , Guam | Asmt,2019,5,Secondary
Pacific Islands Ecosystem Complex,Commercial CPUE,Commercial CPUE,Blacktail snapper - Main Hawaiian Islands,Blacktail snapper , Main Hawaiian Islands,2017,1,Primary
Pacific Islands Ecosystem Complex,FINSS Survey,Coral Reef Ecosystem Research,Blacktail snapper - Main Hawaiian Islands,Blacktail snapper , Main Hawaiian Islands,2017,1,Primary
Pacific Islands Ecosystem Complex,Recreational CPUE,Recreational CPUE,Blacktail snapper - Main Hawaiian Islands,Blacktail snapper , Main Hawaiian Islands,2017,1,Primary
Atlantic Highly Migratory,Commercial CPUE,Commercial CPUE,Blacktip shark - Atlantic,Blacktip shark , Atlantic,2021,1,Primary
Atlantic Highly Migratory,FINSS Survey,Coastal Shark Bottom Longline,Blacktip shark - Atlantic,Blacktip shark , Atlantic,2021,1,Primary
Atlantic Highly Migratory,FINSS Survey,Cooperative Atlantic States Shark Pupping and Nursery (COASTSPAN) survey (GADNR),Blacktip shark - Atlantic,Blacktip shark , Atlantic,2021,1,Primary
Atlantic Highly Migratory,FINSS Survey,Cooperative Atlantic States Shark Pupping and Nursery (COASTSPAN) survey (SCDNR),Blacktip shark - Atlantic,Blacktip shark , Atlantic,2021,1,Primary
Atlantic Highly Migratory,FINSS Survey,SEAMAP-SA Red Drum Bottom Longline Survey (SCDNR),Blacktip shark - Atlantic,Blacktip shark , Atlantic,2021,1,Primary
Atlantic Highly Migratory,Other Survey,SCDNR Drumline Survey,Blacktip shark - Atlantic,Blacktip shark , Atlantic,2021,1,Primary
Atlantic Highly Migratory,Other Survey,SCDNR Gillnet Short Net Age-0,Blacktip shark - Atlantic,Blacktip shark , Atlantic,2021,1,Primary
Atlantic Highly Migratory,Other Survey,VIMS Bottom Longline Robust Series,Blacktip shark - Atlantic,Blacktip shark , Atlantic,2021,1,Primary
Atlantic Highly Migratory,Recreational CPUE,Recreational CPUE,Blacktip shark - Atlantic,Blacktip shark , Atlantic,2021,1,Primary
Atlantic Highly Migratory,Other Method,"BLL Observer Carlson et al. WP-02 TX-FL 99-10 Jan-Dec No/10,000 hook Dependent Lo Method Length Frequencies Mostly Age-1+ Better quality than logbook, Lengths reported Mostly eastern Gulf; Missing 2004 Base (BLLOP NR)",Blacktip shark - Gulf of Mexico,Blacktip shark , Gulf of Mexico,2018,9,Primary
Atlantic Highly Migratory,Other Method,"BLL Observer Carlson et al. WP-02 TX-FL 99-10 Jan-Dec No/10,000 hook Dependent Lo Method Length Frequencies Mostly Age-1+ Better quality than logbook, Lengths reported Mostly eastern Gulf; Missing 2004 Base (BLLOP RES)",Blacktip shark - Gulf of Mexico,Blacktip shark , Gulf of Mexico,2018,9,Primary
